Loyalty Number,flights_12m,distance_12m,pts_acc_12m,pts_red_12m,dollar_red_12m,active_months,max_month_flights,recency,flights_h1,flights_h2,trend,trend_ratio,flights_l3m,redeem_ratio,avg_dist_per_flight,ever_redeemed,Salary,salary_missing,Gender,Education,Marital Status,Loyalty Card,Enrollment Type,enroll_ym,cancel_ym,CLV,Province,City,tenure_months,is_active,churn_prob,log_prob,seg_raw,segment,segment_name,card_w,fv_flights,fv_pts,future_value_score,risk_band
100018,22,43430,43430.0,385,69,8,5,0.0,5,17,12,2.833333333333333,10,0.0088646358591789,1974.090909090909,1,92552.0,0,Female,Bachelor,Married,Aurora,Standard,24200,,7919.2,Alberta,Edmonton,28,True,0.034226538744487,0.0078065948483357,3,2,Loyalists,3,48.400000000000006,41943.54142232693,0.6921,Low
100102,26,29034,29034.0,0,0,9,4,0.0,9,17,8,1.7,11,0.0,1116.6923076923076,0,73455.0,1,Male,College,Single,Nova,Standard,24159,,2887.74,Ontario,Toronto,69,True,0.034226538744487,0.0705593772231401,3,2,Loyalists,2,46.8,28040.266674092563,0.5449,Low
100140,25,41274,41274.0,593,107,8,4,1.0,14,11,-3,0.7333333333333333,3,0.014367050272562,1650.96,1,73455.0,1,Female,College,Divorced,Nova,Standard,24199,,2838.07,British Columbia,Dawson Creek,29,True,0.0360487981038529,0.015015139958791,3,2,Loyalists,2,17.5,39786.12190706158,0.4025,Low
100214,12,20050,20050.0,0,0,5,4,0.0,3,9,6,2.25,3,0.0,1670.8333333333333,0,63253.0,0,Male,Bachelor,Married,Star,Standard,24188,,4170.57,British Columbia,Vancouver,40,True,0.0354399946591926,0.033443867524314,2,5,Casual / Emerging,1,19.200000000000003,19339.42810708319,0.3168,Low
100272,17,26511,26511.0,614,111,7,5,1.0,8,9,1,1.0,4,0.023159324079662,1559.470588235294,1,91163.0,0,Female,Bachelor,Divorced,Star,Standard,24169,,6622.05,Ontario,Toronto,59,True,0.0348152493205827,0.0251202310196609,0,3,Steady Flyers,1,18.700000000000003,25588.01292526203,0.3875,Low
100301,10,13798,13798.0,1381,249,6,3,0.0,2,8,6,2.6666666666666665,4,0.1000797159214435,1379.8,1,70323.0,0,Male,Bachelor,Divorced,Nova,Standard,24165,,48356.96,Ontario,Toronto,63,True,0.034226538744487,0.0827014484049956,3,2,Loyalists,2,16.0,13325.742218403568,0.457,Low
100364,11,13167,13167.0,0,0,4,4,0.0,4,7,3,1.4,4,0.0,1197.0,0,76849.0,0,Male,Bachelor,Married,Nova,Standard,24185,,5143.88,Saskatchewan,Regina,43,True,0.034226538744487,0.0597349357973333,2,5,Casual / Emerging,2,14.3,12716.33916435134,0.2967,Low
100380,16,28679,28679.0,0,0,7,4,0.0,5,11,6,1.8333333333333333,8,0.0,1792.4375,0,69695.0,0,Female,Bachelor,Single,Star,Standard,24154,,2465.62,Quebec,Montreal,74,True,0.034226538744487,0.0478464349700098,0,3,Steady Flyers,1,25.6,27697.417095346857,0.3824,Low
100428,23,37316,37316.0,830,149,8,4,0.0,8,15,7,1.6666666666666667,8,0.0222418736768764,1622.4347826086955,1,63478.0,0,Male,Bachelor,Married,Aurora,Standard,24152,,5845.43,British Columbia,Vancouver,76,True,0.034226538744487,0.0503051162267049,3,2,Loyalists,3,39.1,36038.802480210725,0.5617,Low
100550,19,31908,31908.0,683,123,8,5,2.0,12,7,-5,0.5384615384615384,2,0.02140461938638,1679.3684210526317,1,54133.0,0,Female,Bachelor,Married,Nova,Standard,24158,,7861.8,Quebec,Montreal,70,True,0.0360487981038529,0.0316455188231844,0,3,Steady Flyers,2,9.5,30757.754950102262,0.3419,Low
